Non-Optimized Profile for Pan
=============================

Update or replace this file as new information becomes available.

Conditions of this profile:
   Non-optimized code.
   Run 1088, 34787 events, local I/O.
   Note that the cumulative time (7.2 sec) falls far short of the
   real time of the code, typically it is only 15% of the real time.


Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.14      6.71     0.01    94450     0.00     0.00  __uninitialized_fill_n_aux__H3ZPdZUiZd_X01X11RCX21G11__true_type_X01
  0.14      6.72     0.01    94450     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::fill_initialize(unsigned int, double const &)
  0.14      6.73     0.01    94450     0.00     0.00  double * fill_n<double *, unsigned int, double>(double *, unsigned int, double const &)
  0.14      6.74     0.01    86967     0.00     0.00  void construct<TaEvent, TaEvent>(TaEvent *, TaEvent const &)
  0.14      6.75     0.01    72875     0.00     0.00  TaEvent::GetCuts(void) const
  0.14      6.76     0.01    69590     0.00     0.00  __deque_iterator<TaEvent, TaEvent &, TaEvent *, 0>::__deque_iterator(__deque_iterator<TaEvent, TaEvent &, TaEvent *, 0> const &)
  0.14      6.77     0.01    69572     0.00     0.00  TaRun::GetOversample(void) const
  0.14      6.78     0.01    52210     0.00     0.00  __mi__Ct16__deque_iterator4ZP6VaPairZRP6VaPairZPP6VaPairUi0RCt16__deque_iterator4ZP6VaPairZRP6VaPairZPP6VaPairUi0
  0.14      6.79     0.01    52210     0.00     0.00  deque<VaPair *, __default_alloc_template<true, 0>, 0>::size(void) const
  0.14      6.80     0.01    52180     0.00     0.00  TaLabelledQuantity * vector<TaLabelledQuantity, __default_alloc_template<true, 0> >::allocate_and_copy<TaLabelledQuantity const *>(unsigned int, TaLabelledQuantity const *, TaLabelledQuantity const *)
  0.14      6.81     0.01    52180     0.00     0.00  TaLabelledQuantity * uninitialized_copy<TaLabelledQuantity const *, TaLabelledQuantity *>(TaLabelledQuantity const *, TaLabelledQuantity const *, TaLabelledQuantity *)
  0.14      6.82     0.01    46939     0.00     0.00  vector<double, __default_alloc_template<true, 0> >::vector(void)
